title	score
Hidamari Sketch x ☆☆☆ Specials (SPECIAL)	82
Hidamari Sketch x ☆☆☆ (TV)	82
Gakuen Babysitters OVA (OVA)	82
Aru Majo ga Shinu Made (TV)	82
Natsume Yuujinchou: Utsusemi ni Musubu (MOVIE)	82
Majo no Takkyuubin (MOVIE)	82
Natsume Yuujinchou Shi (TV)	82
Hibike! Euphonium: Chikai no Finale (MOVIE)	82
Machikado Mazoku: 2-Choume (TV)	82
Mushoku Tensei II: Isekai Ittara Honki Dasu (TV)	82
Fruits Basket: 1st Season (TV)	82
Crayon Shin-chan: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu (MOVIE)	82
Boku ga Aishita Subete no Kimi e (MOVIE)	82
Majo Minarai wo Sagashite (MOVIE)	82
Suzumiya Haruhi no Yuuutsu (TV)	82
Non Non Biyori: Okinawa e Ikukoto ni Natta (OVA)	82
Kasai no Hito (MANGA)	82
Heikousen (MUSIC)	82
Violet Evergarden: Kitto "Ai" wo Shiru Hi ga Kuru no Darou (OVA)	82
Ichigo Mashimaro encore (OVA)	82
TARI TARI (TV)	82
Ame wo Tsugeru Hyouryuu Danchi (ONA)	82
Barakamon (TV)	82
Made in Abyss: Hourou Suru Tasogare (MOVIE)	82
Tsurezure Children (TV_SHORT)	82
Totsukuni no Shoujo (2022) (OVA)	82
Saishuu Heiki Kanojo: Another Love Song (OVA)	82
Ping Pong THE ANIMATION (TV)	82
Sayonara no Asa ni Yakusoku no Hana wo Kazarou (MOVIE)	82
Nakitai Watashi wa Neko wo Kaburu (MOVIE)	82
Heya Camp△ (TV_SHORT)	82
STAND BY ME Doraemon (MOVIE)	82
Penguin Highway (MOVIE)	82
Nisemonogatari (TV)	82
Gui Yao Qu Na Li?: Jiyi De Qianban (MANGA)	82
Kaze Tachinu (MANGA)	82
Shayou (MANGA)	82
31-sai, Hatsukare. (MANGA)	82
Umibe no Byouin de Kanojo to Hanashita Ikutsuka no Koto (NOVEL)	82
Boku wa Ashita, Kinou no Kimi to Date suru (MANGA)	82
Uso no Kodomo (MANGA)	82
Yumekuri (MANGA)	82
Kanon (ONE_SHOT)	82
Summer Ghost (MANGA)	82
Ichinen ni Ichido Shika Aenai Kimi no Hanashi. (MANGA)	82
Shoujo Junrei (MANGA)	82
Kin no Hitsuji (MANGA)	82
Yoru to Umi (MANGA)	82
Itou-san (MANGA)	82
Funwari Otoko (ONE_SHOT)	82
Aruku Hito (MANGA)	82
Rokujou Hitoma no Majo Life (MANGA)	82
Hana Samurai no Sahara (MANGA)	82
Lonely Girl ni Sakaraenai (MANGA)	82
Mahou Shoujo Tart☆Magica: The Legend of "Jeanne d'Arc" (MANGA)	82
Eiga "Koe no Katachi" Special Book (MANGA)	82
Samenai Machi no Kissaten (MANGA)	82
Ao no Rettou (MANGA)	82
Aoharu Point (NOVEL)	82
Goukaku no Tame no! Yasashii Sankaku Kankei Nyuumon (MANGA)	82
Totsukuni no Shoujo (MANGA)	82
Supyeongseon (MANGA)	82
Byousoku 5 Centimeter (MANGA)	82
Tokidoki (ONE_SHOT)	82
Battle Royale (MANGA)	82
Chainsaw Biyori (ONA)	80
Kobayashi-san Chi no Maidragon Samishii Gariya no Ryuu (MOVIE)	80
Kamisama Hajimemashita: Kako-hen (OVA)	80
Kamisama Hajimemashita OVA (OVA)	80
SHIROBAKO Movie (MOVIE)	80
Boku no Kokoro no Yabai Yatsu (TV)	80
Hibike! Euphonium 3: Extra Episodes (SPECIAL)	80
Food Court de, Mata Ashita. (TV)	80
Hidamari Sketch: Sae Hiro Sotsugyou-hen (OVA)	80
Hibike! Euphonium: Kitauji Koukou Suisougaku-bu e Youkoso (MOVIE)	80
Hidamari Sketch x SP (SPECIAL)	80
Ruri no Houseki (TV)	80
Komada Jouryuusho e Youkoso (MOVIE)	80
Hidamari Sketch x 365 Specials (SPECIAL)	80
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2 (TV)	80
Hidamari Sketch x 365 (TV)	80
Umi ga Kikoeru (SPECIAL)	80
Yuru Camp△ SEASON 3 OVA (OVA)	80
Wotaku ni Koi wa Muzukashii OVA (OVA)	80
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 2nd Season Part 2 (ONA)	80
THE iDOLM@STER Cinderella Girls: U149 (TV)	80
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season (TV)	80
Tokubetsu-hen Hibike! Euphonium: Ensemble Contest (OVA)	80
Hibike! Euphonium: Kakedasu Monaka (OVA)	80
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku. (OVA)	80
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku: Kitto, Onnanoko wa Osatou to Spice to Suteki na Nanika de Dekiteiru (OVA)	80
Suzumiya Haruhi no Yuuutsu (2009) (TV)	80
Re:Zero kara Hajimeru Isekai Seikatsu OVAs (OVA)	80
CLANNAD: Mou Hitotsu no Sekai, Tomoyo-hen (OVA)	80
Tsuki ga Noboru made ni (OVA)	80
Idol (MUSIC)	80
Oroka na Tenshi wa Akuma to Odoru (TV)	80
Kimi wo Aishita Hitori no Boku e (MOVIE)	80
Hotori: Tada Saiwai wo Koinegau (MOVIE)	80
Sakura Capsule (OVA)	80
Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita (TV)	80
Nijiiro Days (TV_SHORT)	80
Natsuyuki Rendezvous (TV)	80
Koitabi: True Tours Nanto (SPECIAL)	80
Kemono no Souja Erin (TV)	80
Bokura no Nanokakan Sensou (MOVIE)	80
Hikari no Ou 2nd Season (TV)	80
Uma Musume: Pretty Derby Season 2 (TV)	80
Kokoro Yohou (MUSIC)	80
Iriya no Sora, UFO no Natsu (OVA)	80
Toradora!: Bentou no Gokui (OVA)	80
Shoujo Shuumatsu Ryokou (TV)	80
planetarian: Snow Globe (OVA)	80
Chiisana Eiyuu: Kani to Tamago to Toumei Ningen (MOVIE)	80
Ichigo Mashimaro OVA (OVA)	80
Udon no Kuni no Kiniro Kemari (TV)	80
Fragtime (MOVIE)	80
Eiga Daisuki Pompo-san (MOVIE)	80
Ginga Tetsudou no Yoru (MOVIE)	80
Hitoribocchi no ○○ Seikatsu (TV)	80
rain town (MOVIE)	80
Totsukuni no Shoujo (OVA)	80
Doraemon: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi (MOVIE)	80
ROAD TO YOU (ONA)	80
Aharen-san wa Hakarenai (TV)	80
Summer Ghost (MOVIE)	80
Saishuu Heiki Kanojo (TV)	80
Chikyuugai Shounen Shoujo (ONA)	80
Haikyuu!! TO THE TOP 2 (TV)	80
Koyomimonogatari (ONA)	80
Yuru Camp△ OVA (OVA)	80
Tanaka-kun wa Kyou mo Kedaruge (ONA)	80
Sen to Chihiro no Kamikakushi (MOVIE)	80
Dareka no Manazashi (MOVIE)	80
NHK ni Youkoso! (TV)	80
Haikyuu!! (TV)	80
Made in Abyss: Fukaki Tamashii no Reimei (MOVIE)	80
Made in Abyss (TV)	80
Meitantei Conan: Baker Street no Bourei (MOVIE)	80
ID: INVADED (TV)	80
Te wo Tsunaide Sanposhite (ONE_SHOT)	80
Anata e no Michinori (MANGA)	80
Amarimonogatari (NOVEL)	80
Ningen Shikkaku (MANGA)	80
Gakkou ni Ikenai Watashitachi: Sanagi Kara no Mezame (MANGA)	80
Shitayomi Danshi to Toukou Joshi (NOVEL)	80
Sachi-iro no One Room (MANGA)	80
Tsuma, Shougakusei ni Naru. (MANGA)	80
Have I Found You? Yu Ni De Xie Yuan (MANGA)	80
Ginga no Shinanai Kodomotachi e (MANGA)	80
Kuzu no Honkai décor (MANGA)	80
Boku ga Nanafushigi ni Natta Wake (NOVEL)	80
Sen wa, Boku wo Egaku (MANGA)	80
Aozora to Kumorizora (MANGA)	80
Kono Sekai ni i wo Komete (NOVEL)	80
Shingeki no Kyojin: Before the fall (NOVEL)	80
pupa (MANGA)	80
Seikyouiku 120% (MANGA)	80
Watashi no Astilbe (ONE_SHOT)	80
